#Site      X(m)             Y(m)             Z(m)           SEFDR      SEFDL     FR_PAR   FR_EL   FR_OFF  DR_RE    DR_IM    DL_RE    DL_IM   
ALMA         2225060.81360   -5440059.59994   -2481681.15054      0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00 
APEX         2225039.52970   -5441197.62920   -2479303.35970      0.00       0.00   1.00    1.00    0.00    0.00   0.00   0.00   0.00 
THULE        541547.00000   -1387978.60000    6180982.00000       0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00
KITTPEAK    -1995957.25627   -5037391.22487    3357045.20023      0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00
SMTO        -1828796.20000   -5054406.80000    3427865.20000      0.00       0.00   1.00    1.00    0.00    0.00   0.00   0.00   0.00 
JCMT        -5464584.67600   -2493001.17000    2150653.98200      0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00 
NOEMA        4523948.28960     468035.50710    4460364.94480      0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00
PICOVEL      5088967.74544    -301681.18586    3825012.20561      0.00       0.00   1.00   -1.00    0.00    0.00   0.00   0.00   0.00 
SMAP        -5464555.49300   -2492927.98900    2150797.17600       0.00       0.00   1.00   -1.00   45.00    0.00   0.00   0.00   0.00 
SPT           0.01           0.01              -6359609.7         0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00 
