#Site      X(m)             Y(m)             Z(m)               SEFDR      SEFDL  FR_PAR   FR_EL  FR_OFF  DR_RE  DR_IM  DL_RE  DL_IM
ALMA         2225060.81360   -5440059.59994   -2481681.15054      0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00
APEX         2225039.52970   -5441197.62920   -2479303.35970      0.00       0.00   1.00    1.00    0.00    0.00   0.00   0.00   0.00
THULE          5.415470e+05    -1.387979e+06     6.180982e+06       10.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00
PICOVEL         5088967.74544   -301681.18586     3825012.20561      0.00       0.00   1.00   -1.00    0.00    0.00   0.00   0.00   0.00
JCMT        -5464584.67600   -2493001.17000    2150653.98200      0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00
KITTPEAK          -1995678.840    -5037317.697       3357328.025        0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00
LMT         -768715.63200   -5988507.07200     2063354.85200      0.00       0.00   1.00   -1.00    0.00    0.00   0.00   0.00   0.00
NOEMA        4523998.40      468045.240        4460309.760        0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00
SMTO         -1828796.20000   -5054406.80000    3427865.20000      0.00       0.00   1.00    1.00    0.00    0.00   0.00   0.00   0.00
SMAP         -5464555.49300   -2492927.98900    2150797.17600      0.00       0.00   1.00   -1.00   45.00    0.00   0.00   0.00   0.00
SPT           0.01             0.01            -6359609.7          0.00       0.00  1.00    0.00    0.00    0.00   0.00   0.00   0.00
