station loedge_MHz bw_MHz
NOEMA 212364 64
NOEMA 212428 64
NOEMA 212492 64
NOEMA 212556 64
NOEMA 212620 64
NOEMA 212684 64
NOEMA 212748 64
NOEMA 212812 64
NOEMA 212876 64
NOEMA 212940 64
NOEMA 213004 64
NOEMA 213068 64
NOEMA 213132 64
NOEMA 213196 64
NOEMA 213260 64
NOEMA 213324 64
NOEMA 213388 64
NOEMA 213452 64
NOEMA 213516 64
NOEMA 213580 64
NOEMA 213644 64
NOEMA 213708 64
NOEMA 213772 64
NOEMA 213836 64
NOEMA 213900 64
NOEMA 213964 64
NOEMA 214028 64
NOEMA 214092 64
NOEMA 214348 64
NOEMA 214412 64
NOEMA 214476 64
NOEMA 214540 64
NOEMA 214604 64
NOEMA 214668 64
NOEMA 214732 64
NOEMA 214796 64
NOEMA 214860 64
NOEMA 214924 64
NOEMA 214988 64
NOEMA 215052 64
NOEMA 215116 64
NOEMA 215180 64
NOEMA 215244 64
NOEMA 215308 64
NOEMA 215372 64 
NOEMA 215436 64
NOEMA 215500 64
NOEMA 215564 64
NOEMA 215628 64
NOEMA 215692 64
NOEMA 215756 64
NOEMA 215820 64
NOEMA 215884 64
NOEMA 215948 64
NOEMA 216012 64
NOEMA 216076 64
NOEMA 216140 64
NOEMA 226060 64
NOEMA 226124 64
NOEMA 226188 64
NOEMA 226252 64
NOEMA 226316 64
NOEMA 226380 64
NOEMA 226444 64
NOEMA 226508 64
NOEMA 226572 64
NOEMA 226636 64
NOEMA 226700 64
NOEMA 226764 64
NOEMA 226828 64
NOEMA 226892 64
NOEMA 226956 64
NOEMA 227020 64
NOEMA 227084 64
NOEMA 227148 64
NOEMA 227212 64
NOEMA 227276 64
NOEMA 227340 64
NOEMA 227404 64
NOEMA 227468 64
NOEMA 227532 64
NOEMA 227596 64
NOEMA 227660 64
NOEMA 227724 64
NOEMA 227788 64
NOEMA 228044 64
NOEMA 228108 64
NOEMA 228172 64
NOEMA 228236 64
NOEMA 228300 64
NOEMA 228364 64
NOEMA 228428 64
NOEMA 228492 64
NOEMA 228556 64
NOEMA 228620 64
NOEMA 228684 64
NOEMA 228748 64
NOEMA 228812 64
NOEMA 228876 64
NOEMA 228940 64
NOEMA 229004 64
NOEMA 229068 64
NOEMA 229132 64
NOEMA 229196 64
NOEMA 229260 64
NOEMA 229324 64
NOEMA 229388 64
NOEMA 229452 64
NOEMA 229516 64
NOEMA 229580 64
NOEMA 229644 64
NOEMA 229708 64
NOEMA 229772 64
